ddate,timestamp,calculated_vix,market_vix,dte1,dte2,f1,f2,k0_1,k0_2,sigma1,sigma2,r1,r2,call_volume,put_volume,put_call_volume_ratio,call_oi,put_oi,put_call_oi_ratio,avg_call_iv,avg_put_iv,put_call_iv_ratio,otm_put_iv_skew,vix_diff,calc_time
2018-07-19,2024-12-22 14:22:11.673850,12.89538447340219,12.869999885559082,29,36,2804.6494463914437,2805.350680098429,2805.0,2805.0,0.015632708364466404,0.016345789805105045,0.018811256148191385,0.018811256148191385,81030,265143,3.2721584598296927,559706,1118181,1.9978006310455847,0.2218294010889292,0.22581098003629765,1.0179488333278792,1.4373688813106729,0.025384587843108264,1.385568380355835
2018-07-20,2024-12-22 14:22:13.046611,12.907029062135697,12.859999656677246,28,35,2799.849776174663,2800.4508377149427,2800.0,2800.0,0.015621969666926718,0.01639520863759488,0.018514042525353637,0.018514042525353637,50320,149210,2.965222575516693,584657,1249309,2.136823812936474,0.18220969807868254,0.2320754803293687,1.2736724926087795,1.4267252239798958,0.047029405458451023,1.3725249767303467
2018-07-23,2024-12-22 14:22:14.411592,12.65511373512844,12.619999885559082,25,32,2810.6008124792133,2811.2521593185966,2810.0,2810.0,0.014766969857440176,0.015348219957855859,0.018712189848049957,0.018712189848049957,33103,95920,2.8976225719723288,592975,1327563,2.2388178253720645,0.2328365671641791,0.23169076492537313,0.9950789420546728,1.4597021416671294,0.035113849569357924,1.3647942543029785
2018-07-24,2024-12-22 14:22:16.008576,12.45464932434471,12.40999984741211,24,31,2819.549401318612,2820.2003423247247,2820.0,2820.0,0.01427238949354422,0.01477053500405069,0.01910842560962332,0.01910842560962332,78354,118853,1.5168721443704214,577411,1335747,2.313338332660791,0.2289371807000946,0.2267268684957427,0.990345333171341,1.4323651573424554,0.044649476932599796,1.5967950820922852
2018-07-25,2024-12-22 14:22:17.386200,12.329115904229134,12.289999961853027,30,37,2840.8013135741694,2840.801604234157,2840.0,2840.0,0.014400672534939391,0.015441262434501434,0.018910317541510353,0.018910317541510353,76264,140148,1.8376691492709536,786943,1634005,2.0763956220463236,0.21373284789644012,0.224347572815534,1.0496635169725386,1.4020476327512201,0.039115942376106716,1.3774373531341553
2018-07-26,2024-12-22 14:22:18.748642,12.158792069264416,12.140000343322754,29,36,2841.6526098689083,2841.6532061783087,2840.0,2840.0,0.013822324462316859,0.014900522527153556,0.018811256148191385,0.018811256148191385,140295,129659,0.9241883174738943,329377,591775,1.7966494321097102,0.19097588383838385,0.18519330808080806,0.9697209111362491,1.519725349370154,0.018791725941662563,1.3622524738311768
2018-07-27,2024-12-22 14:22:20.082710,13.064208188874508,13.029999732971191,28,35,2816.6024610956365,2816.502852208168,2815.0,2815.0,0.015851158918245026,0.01681212283783215,0.018910317541510353,0.018910317541510353,28776,92912,3.228801779260495,338397,622253,1.8388254032984925,0.17822300771208227,0.19627519280205655,1.1012898689216233,1.4994641316967934,0.03420845590331645,1.3338611125946045
2018-07-30,2024-12-22 14:22:21.469566,14.300210340418415,14.260000228881836,25,32,2802.4534049550252,2802.4042117938748,2800.0,2800.0,0.01861050650035425,0.01961498604771592,0.019009374028492048,0.019009374028492048,104213,197127,1.891577826182914,330617,667983,2.0204133483759152,0.1928837837837838,0.1971157014157014,1.0219402458252345,1.554700886218998,0.04021011153657916,1.3866581916809082
2018-07-31,2024-12-22 14:22:23.044892,12.850209462156842,12.829999923706055,24,31,2823.347758394136,2823.347146518727,2825.0,2825.0,0.014778556555172975,0.015756986034343383,0.01930651405627663,0.01930651405627663,26494,89684,3.385068317354873,348100,730195,2.0976587187589772,0.2104956241956242,0.1913952380952381,0.909259937476728,1.548027019630284,0.020209538450787434,1.5751311779022217
2018-08-01,2024-12-22 14:22:24.397265,13.187309110874118,13.149999618530273,30,37,2810.1001667790924,2810.0,2810.0,2810.0,0.01647522204496518,0.01703449336413022,0.019207472285389424,0.019207472285389424,49694,90566,1.8224735380528836,434464,929874,2.1402785961552624,0.19500523560209423,0.20460869109947644,1.0492471674810717,1.4754553288246408,0.0373094923438444,1.352177619934082
2018-08-02,2024-12-22 14:22:25.754802,12.208557125321024,12.1899995803833,29,36,2827.6462829139796,2827.4951421540777,2830.0,2825.0,0.013985183967844303,0.014781036070179025,0.018811256148191385,0.018811256148191385,29684,61139,2.0596617706508558,342122,669407,1.9566324293673016,0.17992471337579619,0.19687159235668789,1.0941887229548948,1.4800489928589302,0.01855754493772288,1.35733962059021
2018-08-03,2024-12-22 14:22:27.099340,11.646045482331457,11.640000343322754,28,35,2839.2488463614204,2839.098288675099,2840.0,2840.0,0.012610062011794224,0.013332891152150661,0.018910317541510353,0.018910317541510353,119424,162368,1.3595927116827438,360628,680644,1.8873853389087925,0.18117047496790759,0.19329409499358152,1.0669182990651291,1.470731859621597,0.006045139008703515,1.3443360328674316
2018-08-06,2024-12-22 14:22:28.695402,11.262588779069272,11.270000457763672,25,32,2849.5493713390692,2849.3488533568047,2850.0,2850.0,0.011506474874863408,0.01217872494737848,0.01910842560962332,0.01910842560962332,27622,71126,2.5749764680327276,379108,667475,1.760646042816295,0.16576818774445892,0.1916670143415906,1.1562352038079597,1.4351506813711639,0.007411678694399626,1.59586501121521
2018-08-07,2024-12-22 14:22:30.062245,10.946916675062306,10.930000305175781,24,31,2858.9986275038445,2858.8980781458777,2860.0,2860.0,0.010772543577540589,0.011428772415046048,0.019504582885356676,0.019504582885356676,46532,71380,1.5339981088283332,368888,665721,1.804669710047494,0.14224936224489795,0.1827204081632653,1.2845077494877761,1.4618611412476075,0.016916369886525118,1.3666491508483887
2018-08-08,2024-12-22 14:22:31.429959,10.870756920564338,10.850000381469727,30,37,2854.248749156807,2854.0480650060613,2855.0,2855.0,0.01119537057088397,0.012390910095711288,0.019207472285389424,0.019207472285389424,77399,122367,1.580989418467939,476452,831285,1.7447402886334824,0.15150494736842107,0.18461136842105266,1.2185170954987052,1.4351599939903097,0.02075653909461117,1.3675270080566406
2018-08-09,2024-12-22 14:22:32.785789,11.28674002740401,11.270000457763672,29,36,2852.946723258023,2852.7455818474687,2855.0,2855.0,0.011906531606157159,0.012860142314266309,0.019009374028492048,0.019009374028492048,56099,73635,1.3125902422503075,266423,479893,1.8012446372873212,0.1868686224489796,0.1749619897959184,0.936283403296816,1.4972766388034715,0.016739569640337848,1.3556406497955322
2018-08-10,2024-12-22 14:22:34.377283,13.181558957050404,13.15999984741211,28,35,2836.552409182987,2836.402689975987,2835.0,2835.0,0.01627530229547081,0.016836185274644633,0.01910842560962332,0.01910842560962332,30506,59517,1.950993247230053,240603,491057,2.0409429641359416,0.19436328626444158,0.1963002567394095,1.0099657219848228,1.5183598434056227,0.02155910963829477,1.5912861824035645
2018-08-13,2024-12-22 14:22:35.737151,14.839589991259256,14.779999732971191,25,32,2824.749648932322,2824.59929071263,2825.0,2825.0,0.02038499596642628,0.02101355803013615,0.019207472285389424,0.019207472285389424,18899,52137,2.7587173924546273,245057,482829,1.9702722223809155,0.20783059418457644,0.21334538558786342,1.0265350316921542,1.5241350665567432,0.059590258288064746,1.3596806526184082
